Law Id,State,Title,Significant_Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4841,WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,2010-05-20 00:00:00 UTC,FALSE,40,Laws and Regulations,,,,,,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,,REQ,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html|https://docs.legis.wisconsin.gov/code/executive_orders/2003_jim_doyle/2006-141.pdf
5334,WI,Alternative Fuel Tax Exemption,1993-08-10 00:00:00 UTC,FALSE,31,State Incentives,,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,,STATION|PURCH|FLEET|IND,http://legis.wisconsin.gov/rsb/stats.html
5335,WI,Alternative Fuels Tax,,FALSE,45,Laws and Regulations,,,,,,,NG|LPG,,FUEL,STATION|PURCH,http://legis.wisconsin.gov/rsb/stats.html
5336,WI,Alternative Fuel License,,FALSE,50,Laws and Regulations,,,,,,,BIOD|ETH|HY|NG|LPG,,REGIS,STATION,http://www.legis.state.wi.us/rsb/stats.html
6021,WI,Biodiesel Fuel Use Incentive for Schools,,FALSE,33,State Incentives,,,,,,,BIOD,GNT,,PURCH|FLEET|GOV,http://legis.wisconsin.gov/rsb/stats.html
6022,WI,Biodiesel Labeling Requirement,,FALSE,85,Laws and Regulations,,,,,,,BIOD,,REGIS,STATION|PURCH,http://legis.wisconsin.gov/rsb/stats.html
6153,WI,Idle Reduction Grant Program,2019-10-30 17:14:09 UTC,FALSE,30,State Incentives,,2019-10-30 17:14:09 UTC,,,,,IR,GNT,,FLEET,http://legis.wisconsin.gov/rsb/stats.html
6155,WI,Alternative Fuel Tax Refund for Taxis,,FALSE,25,State Incentives,,,,,,,ELEC|HY|NG|PHEV|LPG,TAX,,FLEET|IND,http://legis.wisconsin.gov/rsb/stats.html
6158,WI,Biodiesel Definition,,FALSE,80,Laws and Regulations,,,,,,,BIOD,,STD,STATION|AFP|PURCH,http://legis.wisconsin.gov/rsb/stats.html
6159,WI,Low-Speed Vehicle Access to Roadways,2010-05-14 00:00:00 UTC,FALSE,95,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html
6474,WI,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,2017-12-04 00:00:00 UTC,FALSE,32,State Incentives,,2017-12-07 21:51:45 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html|https://legis.wisconsin.gov/
6476,WI,Propane Supplier Requirements,2008-04-01 00:00:00 UTC,FALSE,90,Laws and Regulations,,,,,,,LPG,,REGIS,STATION,http://legis.wisconsin.gov/rsb/stats.html
8972,WI,Renewable Fuel Producer Excise Tax and Inspection Exemption,2010-05-20 00:00:00 UTC,FALSE,11,State Incentives,,,,,,,BIOD|ETH,EXEM|TAX,,AFP,http://legis.wisconsin.gov/rsb/stats.html
8976,WI,Renewable Fuel Sales Volume Goals,2010-05-20 00:00:00 UTC,FALSE,60,Laws and Regulations,,,,,,,BIOD|ETH,,RFS,OTHER,http://legis.wisconsin.gov/rsb/stats.html
8978,WI,Sustainable Biofuels Production Practices,2010-05-20 00:00:00 UTC,FALSE,70,Laws and Regulations,,,,,,,BIOD|ETH,,OTHER,OTHER,http://legis.wisconsin.gov/rsb/stats.html
11900,WI,Plug-In Electric Vehicle (PEV) Fees,2017-09-21 00:00:00 UTC,FALSE,47,Laws and Regulations,,2019-07-24 19:32:17 UTC,,,,,ELEC|PHEV,,FUEL,FLEET|IND,https://legis.wisconsin.gov/|http://legis.wisconsin.gov/rsb/stats.html|https://legis.wisconsin.gov/
11901,WI,Volkswagen (VW) Settlement Allocation,2017-09-21 00:00:00 UTC,FALSE,55,Laws and Regulations,,2017-12-07 22:07:52 UTC,2027-06-30 00:00:00 UTC,,,,OTHER,,AIRQEMISSIONS,OTHER,https://legis.wisconsin.gov/|http://www.legis.state.wi.us/rsb/stats.html
11902,WI,Support for Autonomous Vehicles (AVs),2017-05-18 00:00:00 UTC,FALSE,65,Laws and Regulations,,2017-12-07 22:09:49 UTC,,,,,AUTONOMOUS,,DREST,OTHER,https://docs.legis.wisconsin.gov/code/register/2017/737A4/register/executive_orders/eo_245/eo_245.pdf
12066,WI,Heavy-Duty Transit Bus Grants,2018-10-02 20:41:05 UTC,FALSE,10,State Incentives,,2018-10-02 20:41:05 UTC,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,,FLEET|GOV,
12264,WI,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Madison Gas and Electric (MGE),2019-08-05 17:31:26 UTC,FALSE,100,Utility/Private Incentives,,2019-08-05 17:31:26 UTC,,,,,ELEC|PHEV,OTHER,,STATION|PURCH|IND,
12325,WI,Clean Diesel Grant Program,2019-12-11 15:43:33 UTC,FALSE,19,State Incentives,,2019-12-11 15:43:33 UTC,,,,Vehicle Purchase and Infrastructure Development Incentives,BIOD|ELEC|IR|NG|PHEV|LPG,GNT,,FLEET|GOV,
12326,WI,Electric Vehicle Supply Equipment (EVSE) Leasing Program – Madison Gas and Electric (MGE),2019-12-11 15:53:55 UTC,FALSE,103,Utility/Private Incentives,,2019-12-11 15:53:55 UTC,,,,,ELEC|PHEV,LOANS|OTHER,,IND,
12327,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Barron Electric Cooperative (BEC),2019-12-11 16:18:08 UTC,FALSE,120,Utility/Private Incentives,,2019-12-11 16:18:08 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12328,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Chippewa Valley Electric Cooperative (CVEC),2019-12-11 16:20:01 UTC,FALSE,130,Utility/Private Incentives,,2019-12-11 16:20:01 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12329,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Clark Electric Cooperative (CEC),2019-12-11 16:21:45 UTC,FALSE,140,Utility/Private Incentives,,2019-12-11 16:21:45 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12330,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – East Central Energy (ECE),2019-12-11 16:23:21 UTC,FALSE,150,Utility/Private Incentives,,2019-12-11 16:23:21 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12331,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Price Electric Cooperative,2019-12-11 16:25:43 UTC,FALSE,160,Utility/Private Incentives,,2019-12-11 16:25:43 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12332,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Riverland Energy Cooperative (REC),2019-12-11 16:27:04 UTC,FALSE,170,Utility/Private Incentives,,2019-12-11 16:27:04 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12333,WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Pierce Pepin Cooperative Services (PPCS),2020-02-07 22:41:26 UTC,FALSE,180,Utility/Private Incentives,,2020-02-07 22:41:26 UTC,,,,,ELEC|PHEV,RBATE,,IND,
12334,WI,Liquid Alternative Fuel Sale Requirement,1994-04-08 00:00:00 UTC,FALSE,97,Laws and Regulations,,2019-12-11 16:33:49 UTC,,,,,BIOD|ETH|NG|LPG,,REQ|RFS,AFP|PURCH,https://docs.legis.wisconsin.gov/1993/related/acts/234
12437,WI,Climate Change Task Force  ,2019-10-17 00:00:00 UTC,FALSE,39,Laws and Regulations,,2020-07-13 01:25:33 UTC,,,,,ELEC,,CCEINIT,GOV,
12480,WI,Ethanol Dispensing Requirements,2020-08-13 02:53:43 UTC,FALSE,86,Laws and Regulations,,2020-08-13 02:53:43 UTC,,,,,ETH,,REQ,STATION,
